City,Country,Gas,Unit,Week_Start,Week_End,Year,Month,Smog_Period,Mean_Value,Filled,Fill_Method,Geom_Source
Loni,India,NO2,mol/m^2,2019-10-20,2019-10-27,2019,10,PreSmog,6.935990801887356e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-10-27,2019-11-03,2019,10,PreSmog,4.724207688487401e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-03,2019-11-10,2019,11,DuringSmog,7.26014410454845e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-10,2019-11-17,2019,11,DuringSmog,5.619517489432996e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-17,2019-11-24,2019,11,DuringSmog,0.0001355295556113,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-11-24,2019-12-01,2019,11,DuringSmog,6.787072035020666e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-01,2019-12-08,2019,12,DuringSmog,9.099881409653308e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-08,2019-12-15,2019,12,DuringSmog,0.0001187803494265,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-15,2019-12-22,2019,12,DuringSmog,0.0001209795184652,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-22,2019-12-29,2019,12,DuringSmog,0.0001326732353627,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2019-12-29,2020-01-05,2019,12,DuringSmog,0.0001138626671638,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-01-05,2020-01-12,2020,1,PostSmog,9.336174242587808e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-01-12,2020-01-19,2020,1,PostSmog,0.0001194823177626,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-01-19,2020-01-26,2020,1,PostSmog,9.468042463420568e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-01-26,2020-02-02,2020,1,PostSmog,7.927713347962379e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-02-02,2020-02-09,2020,2,PostSmog,9.03148348211676e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-02-09,2020-02-16,2020,2,PostSmog,7.553671688592882e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-02-16,2020-02-23,2020,2,PostSmog,6.156254985401133e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-02-23,2020-03-01,2020,2,PostSmog,6.613637609248438e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-03-01,2020-03-08,2020,3,PostSmog,7.443960585402145e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-03-08,2020-03-15,2020,3,PostSmog,6.370536225881011e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-03-15,2020-03-22,2020,3,PostSmog,7.011964736650544e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-03-22,2020-03-29,2020,3,PostSmog,3.868617868772146e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-03-29,2020-04-05,2020,3,PostSmog,2.74720745259146e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-04-05,2020-04-12,2020,4,PreSmog,2.786653331134744e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-04-12,2020-04-19,2020,4,PreSmog,4.047120906890901e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-04-19,2020-04-26,2020,4,PreSmog,4.894373443421067e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-04-26,2020-05-03,2020,4,PreSmog,4.768720650367938e-05,0,observed,shapefile:India_Loni_Ghaziabad
Loni,India,NO2,mol/m^2,2020-05-03,2020-05-10,2020,5,PreSmog,4.850964472357836e-05,0,observed,shapefile:India_Loni_Ghaziabad
