City,Country,date,Year,Month,MPSI,MPSI_star,N_elevated,SmogMonth,SmogMonth_refined,Formula detected Smog,Refined detected Smog
Dhaka,Bangladesh,2022-09,2022,9,-0.6868778126971403,-0.3118373154454433,0,0,0,No,No
Dhaka,Bangladesh,2022-10,2022,10,-0.4780631933931536,0.09267960878668084,0,0,0,No,No
Dhaka,Bangladesh,2022-11,2022,11,0.07764842148754891,0.5350106144366494,1,0,0,No,No
Dhaka,Bangladesh,2022-12,2022,12,0.15095681793109567,1.1787729646739404,1,0,0,No,No
Dhaka,Bangladesh,2023-01,2023,1,0.6948974744116493,2.2287690442222594,3,0,1,No,Yes
Dhaka,Bangladesh,2023-02,2023,2,0.8410627634264894,1.316972746154803,3,0,0,No,No
Dhaka,Bangladesh,2023-03,2023,3,0.3879056283859311,1.1004308438160346,1,0,0,No,No
Dhaka,Bangladesh,2023-04,2023,4,0.6129416151830169,-0.018437783582522682,1,0,0,No,No
Dhaka,Bangladesh,2023-05,2023,5,0.37663415871092837,-0.8354346312136701,1,0,0,No,No
Dhaka,Bangladesh,2023-06,2023,6,-0.4813749953663861,-1.407040087881738,1,0,0,No,No
Dhaka,Bangladesh,2023-07,2023,7,-1.0450364282743174,-1.391085743684144,0,0,0,No,No
Dhaka,Bangladesh,2023-08,2023,8,-0.7996750017704641,-0.8883611527664834,0,0,0,No,No
Dhaka,Bangladesh,2023-09,2023,9,-0.7110747393030533,-0.47859484934305957,0,0,0,No,No
Dhaka,Bangladesh,2023-10,2023,10,-0.2609189537506997,-0.17432290168406228,0,0,0,No,No
Dhaka,Bangladesh,2023-11,2023,11,0.15031202156917753,0.15269686816973543,1,0,0,No,No
Dhaka,Bangladesh,2023-12,2023,12,0.2343264567777262,0.3944076477928522,1,0,0,No,No
Dhaka,Bangladesh,2024-01,2024,1,0.740798550289161,0.6580922559683677,1,0,0,No,No
Dhaka,Bangladesh,2024-02,2024,2,0.4392038806845444,1.0822253697376045,1,0,0,No,No
Dhaka,Bangladesh,2024-03,2024,3,0.6084710180790647,0.8778507285851462,1,0,0,No,No
Dhaka,Bangladesh,2024-04,2024,4,0.9392866954293655,-0.15149125078821524,4,0,0,No,No
Dhaka,Bangladesh,2024-05,2024,5,0.4563154858453835,-0.7974083701519419,1,0,0,No,No
Dhaka,Bangladesh,2024-06,2024,6,-0.39274620679073524,-1.2741055242538843,0,0,0,No,No
Dhaka,Bangladesh,2024-07,2024,7,-1.049913112133984,-0.7450976071129257,0,0,0,No,No
Dhaka,Bangladesh,2024-08,2024,8,-1.0356530124402088,-0.9982382195248702,0,0,0,No,No
Dhaka,Bangladesh,2024-09,2024,9,-0.7525731537179159,-0.21413298816192528,0,0,0,No,No
Dhaka,Bangladesh,2024-10,2024,10,-0.4134352842523622,0.24685762759807825,0,0,0,No,No
Dhaka,Bangladesh,2024-11,2024,11,0.10085653962210121,0.4458378568749642,1,0,0,No,No
Dhaka,Bangladesh,2024-12,2024,12,0.359388599385585,0.8696101212296008,1,0,0,No,No
Dhaka,Bangladesh,2025-01,2025,1,0.6165940716379451,0.904665432362649,2,0,0,No,No
Dhaka,Bangladesh,2025-02,2025,2,0.8161420127265222,1.2145661024589582,2,0,0,No,No
Dhaka,Bangladesh,2025-03,2025,3,0.9788048725842102,1.1308734803277547,3,0,0,No,No
Dhaka,Bangladesh,2025-04,2025,4,0.7088189559992324,-0.289516335242952,2,0,0,No,No
Dhaka,Bangladesh,2025-05,2025,5,0.1101991916151761,-0.23639809995071645,1,0,0,No,No
Dhaka,Bangladesh,2025-06,2025,6,-0.6802088298701137,-0.8806746687748306,0,0,0,No,No
Dhaka,Bangladesh,2025-07,2025,7,-0.6737328191833857,-0.691761024456923,0,0,0,No,No
Dhaka,Bangladesh,2025-08,2025,8,-0.8274207138838328,-0.6661907457820896,0,0,0,No,No
Dhaka,Bangladesh,2025-09,2025,9,-0.8228312719802524,-0.23748591198761093,0,0,0,No,No
Dhaka,Bangladesh,2025-10,2025,10,-0.3082859595392987,-0.45372493953662535,0,0,0,No,No
Dhaka,Bangladesh,2025-11,2025,11,-0.10771785693604352,0.01791796624547992,1,0,0,No,No
Dhaka,Bangladesh,2025-12,2025,12,0.18963834682983735,0.18772874433690673,2,0,0,No,No
Dhaka,Bangladesh,2026-01,2026,1,0.4204876289504327,1.0726739176167277,2,0,0,No,No
Dhaka,Bangladesh,2026-02,2026,2,0.4242456274975647,0.9004251167780974,0,0,0,No,No
Dhaka,Bangladesh,2026-03,2026,3,0.20977937923745066,0.7980744606292441,1,0,0,No,No
Dhaka,Bangladesh,2026-04,2026,4,0.21627769456757293,-0.4296504053339492,1,0,0,No,No
Dhaka,Bangladesh,2026-05,2026,5,-0.7741685060162912,-0.6524614710857386,1,0,0,No,No
Dhaka,Bangladesh,2026-06,2026,6,-0.49662182423673207,-1.6890616186043914,0,0,0,No,No
Dushanbe,Tajikistan,2018-07,2018,7,-0.22669647053061487,-1.290288372836031,1,0,0,No,No
Dushanbe,Tajikistan,2018-08,2018,8,-0.2030994818785377,-0.7473652804278278,1,0,0,No,No
