City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog,months_in_year,short_year_flag
Dushanbe,Tajikistan,2019-08,2019,8,0.14890013803413313,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-09,2019,9,-0.4531648710824984,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2019-10,2019,10,-0.5688064086387861,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2019-11,2019,11,0.7566265521904131,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2019-12,2019,12,0.5304192027343555,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2020-01,2020,1,1.4449072542296881,4,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2020-02,2020,2,0.11531090839555799,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2020-03,2020,3,-0.20056721031212765,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-04,2020,4,-0.1647737579596833,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-05,2020,5,-0.4749352323490032,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-06,2020,6,-0.5721410831975817,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-07,2020,7,-0.796315985308176,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-08,2020,8,-0.4212356812191314,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-09,2020,9,0.042532961738507694,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2020-10,2020,10,0.06181418181557359,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2020-11,2020,11,0.3047666586216775,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2020-12,2020,12,0.6606369855446991,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2021-01,2021,1,0.7464070846484089,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2021-02,2021,2,-0.1211274442526993,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2021-03,2021,3,0.09863369738932067,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-04,2021,4,-0.2994933594560824,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-05,2021,5,-0.759501347592707,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-06,2021,6,-0.7488366208967744,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-07,2021,7,-0.45092053301465906,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-08,2021,8,0.26255941966416646,2,False,True,False,0,No,12,False
Dushanbe,Tajikistan,2021-09,2021,9,-0.21777710223315427,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2021-10,2021,10,0.08916934698105702,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2021-11,2021,11,0.5998859078427478,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2021-12,2021,12,0.8010009509203734,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2022-01,2022,1,0.6218313755021369,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2022-02,2022,2,0.6059860048793885,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2022-03,2022,3,-0.05456070889840521,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-04,2022,4,-0.1445818219834635,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-05,2022,5,-0.4331491949742624,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-06,2022,6,-0.27626566680447145,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-07,2022,7,-0.04059629299710834,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-08,2022,8,-0.24237360646134132,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-09,2022,9,-0.3764537892181075,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2022-10,2022,10,-0.6669111853500745,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2022-11,2022,11,-0.25693649850559425,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2022-12,2022,12,1.2640113848113002,3,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2023-01,2023,1,1.4786548363975838,4,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2023-02,2023,2,-0.26405296925200766,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2023-03,2023,3,-0.7307159436347559,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-04,2023,4,-0.3642798804508181,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-05,2023,5,-0.17748304943318746,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-06,2023,6,-0.16646435510690377,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-07,2023,7,-0.03808460514442711,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-08,2023,8,-0.22748980075105835,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-09,2023,9,-0.35322227310565263,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2023-10,2023,10,-0.18780083473533044,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2023-11,2023,11,-1.0929187643704541e-05,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2023-12,2023,12,1.0309498044042054,3,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2024-01,2024,1,0.880280828331457,3,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2024-02,2024,2,0.839121574030216,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2024-03,2024,3,0.16231243964366118,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-04,2024,4,-0.23479042587162055,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-05,2024,5,-0.5074141163489005,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-06,2024,6,-0.37024358576146843,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-07,2024,7,-0.33789330411042906,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-08,2024,8,-0.04585493565940326,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-09,2024,9,-0.14687959302267312,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2024-10,2024,10,-0.6763129648815696,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2024-11,2024,11,-0.5651399707058171,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2024-12,2024,12,1.0028140543565462,2,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2025-01,2025,1,1.0733766232529087,4,True,True,True,1,Yes,12,False
Dushanbe,Tajikistan,2025-02,2025,2,0.15095578956732197,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2025-03,2025,3,-0.33585665487836974,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-04,2025,4,-0.41414606061899883,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-05,2025,5,-0.36564079188344356,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-06,2025,6,-0.09690994306504752,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-07,2025,7,-0.0009944709987382617,1,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-08,2025,8,0.22813216377272044,2,False,True,False,0,No,12,False
Dushanbe,Tajikistan,2025-09,2025,9,-0.2853246008857255,0,False,False,False,0,No,12,False
Dushanbe,Tajikistan,2025-10,2025,10,-0.6347353701896014,0,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2025-11,2025,11,0.5739925416277568,2,False,True,True,0,No,12,False
Dushanbe,Tajikistan,2025-12,2025,12,0.10715077429921675,1,False,False,True,0,No,12,False
Dushanbe,Tajikistan,2026-01,2026,1,1.6583662281184552,4,True,True,True,1,Yes,6,True
Dushanbe,Tajikistan,2026-02,2026,2,-0.054983297229434035,0,False,False,True,0,No,6,True
Dushanbe,Tajikistan,2026-03,2026,3,-0.483862257265235,0,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2026-04,2026,4,-0.4537062618719365,0,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2026-05,2026,5,-0.2906056276423903,1,False,False,False,0,No,6,True
Dushanbe,Tajikistan,2026-06,2026,6,-0.375208784109461,1,False,False,False,0,No,6,True
Faisalabad,Pakistan,2018-07,2018,7,-0.14129665413721504,1,False,False,False,0,No,6,True
Faisalabad,Pakistan,2018-08,2018,8,-0.3359139176390076,0,False,False,False,0,No,6,True
Faisalabad,Pakistan,2018-09,2018,9,-0.4131270014507143,0,False,False,False,0,No,6,True
