City,Country,date,Year,Month,MPSI,N_elevated,cond1_MPSI,cond2_Nelev,cond3_window,SmogMonth,Formula detected Smog
Dushanbe,Tajikistan,2023-10,2023,10,-0.037510584509977705,0,False,False,True,0,No
Dushanbe,Tajikistan,2023-11,2023,11,0.1239229635151283,1,False,False,True,0,No
Dushanbe,Tajikistan,2023-12,2023,12,0.9589991308275068,2,False,True,True,0,No
Dushanbe,Tajikistan,2024-01,2024,1,1.2475651464369666,3,True,True,True,1,Yes
Dushanbe,Tajikistan,2024-02,2024,2,1.3613561918687327,3,True,True,True,1,Yes
Dushanbe,Tajikistan,2024-03,2024,3,0.6068572425177651,2,False,True,False,0,No
Dushanbe,Tajikistan,2024-04,2024,4,0.22474302005425098,1,False,False,False,0,No
Dushanbe,Tajikistan,2024-05,2024,5,-0.17466925046718879,0,False,False,False,0,No
Dushanbe,Tajikistan,2024-06,2024,6,-0.08663483465169133,0,False,False,False,0,No
Dushanbe,Tajikistan,2024-07,2024,7,-0.17388900866269513,1,False,False,False,0,No
Dushanbe,Tajikistan,2024-08,2024,8,-0.004926986150117907,1,False,False,False,0,No
Dushanbe,Tajikistan,2024-09,2024,9,-0.020937201309576235,0,False,False,False,0,No
Dushanbe,Tajikistan,2024-10,2024,10,-0.3717084003137384,0,False,False,True,0,No
Dushanbe,Tajikistan,2024-11,2024,11,-0.26410898781079684,0,False,False,True,0,No
Dushanbe,Tajikistan,2024-12,2024,12,1.14346766790549,3,True,True,True,1,Yes
Dushanbe,Tajikistan,2025-01,2025,1,1.761125144611165,4,True,True,True,1,Yes
Dushanbe,Tajikistan,2025-02,2025,2,0.5738337437481447,2,False,True,True,0,No
Dushanbe,Tajikistan,2025-03,2025,3,0.025424129922748718,1,False,False,False,0,No
Dushanbe,Tajikistan,2025-04,2025,4,-0.11733982622264545,0,False,False,False,0,No
Dushanbe,Tajikistan,2025-05,2025,5,-0.19426562543706655,1,False,False,False,0,No
Dushanbe,Tajikistan,2025-06,2025,6,0.11445100376343867,0,False,False,False,0,No
